time_step,drone,x,y
46,drone3,0,2
46,drone4,2,11
46,drone5,4,16
46,drone6,6,23
47,drone1,14,9
47,drone2,22,8
47,drone3,1,2
47,drone4,1,11
47,drone5,3,16
47,drone6,7,23
48,drone1,15,9
48,drone2,21,8
48,drone3,2,2
48,drone4,0,11
48,drone5,2,16
48,drone6,8,23
49,drone1,16,9
49,drone2,20,8
49,drone3,3,2
49,drone4,0,12
49,drone5,1,16
49,drone6,9,23
50,drone1,17,9
50,drone2,20,7
50,drone3,4,2
50,drone4,0,13
50,drone5,0,16
50,drone6,10,23
51,drone1,18,9
51,drone2,21,7
51,drone3,5,2
51,drone4,0,14
51,drone5,0,17
51,drone6,11,23
52,drone1,18,10
52,drone2,22,7
52,drone3,6,2
52,drone4,1,14
52,drone5,1,17
52,drone6,12,23
53,drone1,19,10
53,drone2,23,7
53,drone3,7,2
53,drone4,2,14
53,drone5,2,17
53,drone6,13,23
54,drone1,19,9
54,drone2,24,7
54,drone3,8,2
54,drone4,3,14
54,drone5,3,17
54,drone6,14,23
55,drone1,19,8
55,drone2,24,6
55,drone3,9,2
55,drone4,4,14
55,drone5,4,17
55,drone6,15,23
56,drone1,19,7
56,drone2,23,6
56,drone3,10,2
56,drone4,5,14
56,drone5,5,17
56,drone6,16,23
57,drone1,19,6
57,drone2,22,6
57,drone3,11,2
57,drone4,6,14
57,drone5,6,17
57,drone6,17,23
58,drone1,20,6
58,drone2,21,6
58,drone3,12,2
58,drone4,7,14
58,drone5,7,17
58,drone6,18,23
59,drone1,20,5
59,drone2,21,5
59,drone3,13,2
59,drone4,8,14
59,drone5,8,17
59,drone6,19,23
60,drone1,19,5
60,drone2,22,5
60,drone3,14,2
60,drone4,9,14
60,drone5,9,17
60,drone6,20,23
61,drone1,18,5
61,drone2,23,5
61,drone3,15,2
61,drone4,10,14
61,drone5,10,17
61,drone6,21,23
62,drone1,17,5
62,drone2,24,5
62,drone3,16,2
62,drone4,11,14
62,drone5,11,17
62,drone6,22,23
63,drone1,16,5
63,drone2,24,6
63,drone3,17,2
63,drone4,12,14
63,drone5,12,17
63,drone6,23,23
64,drone1,15,5
64,drone2,24,7
64,drone3,18,2
64,drone4,13,14
64,drone5,13,17
64,drone6,23,22
65,drone1,14,5
65,drone2,24,8
65,drone3,19,2
65,drone4,14,14
65,drone5,14,17
65,drone6,22,22
66,drone1,13,5
66,drone2,23,8
66,drone3,20,2
66,drone4,15,14
66,drone5,15,17
66,drone6,21,22
67,drone1,12,5
67,drone2,22,8
67,drone3,20,1
67,drone4,15,15
67,drone5,16,17
67,drone6,20,22
68,drone1,11,5
68,drone2,21,8
68,drone3,20,0
68,drone4,14,15
68,drone5,17,17
68,drone6,19,22
69,drone1,10,5
69,drone2,20,8
69,drone3,21,0
69,drone4,13,15
69,drone5,18,17
69,drone6,18,22
70,drone1,9,5
70,drone2,19,8
70,drone3,22,0
70,drone4,12,15
70,drone5,19,17
70,drone6,17,22
71,drone1,8,5
71,drone2,18,8
71,drone3,23,0
71,drone4,11,15
71,drone5,20,17
71,drone6,16,22
72,drone1,7,5
72,drone2,17,8
72,drone3,24,0
72,drone4,10,15
72,drone5,21,17
72,drone6,15,22
73,drone1,6,5
73,drone2,16,8
73,drone3,24,1
73,drone4,9,15
73,drone5,22,17
73,drone6,14,22
74,drone1,5,5
74,drone2,15,8
74,drone3,23,1
74,drone4,8,15
74,drone5,23,17
74,drone6,13,22
75,drone1,4,5
75,drone2,15,9
75,drone3,22,1
75,drone4,7,15
75,drone5,23,18
75,drone6,12,22
76,drone1,4,6
76,drone2,15,10
76,drone3,21,1
76,drone4,6,15
76,drone5,22,18
76,drone6,11,22
77,drone1,5,6
77,drone2,16,10
77,drone3,20,1
77,drone4,5,15
77,drone5,21,18
77,drone6,10,22
78,drone1,6,6
78,drone2,17,10
78,drone3,19,1
78,drone4,4,15
78,drone5,21,19
78,drone6,9,22
79,drone1,7,6
79,drone2,17,11
79,drone3,19,0
79,drone4,3,15
79,drone5,22,19
79,drone6,8,22
80,drone1,7,5
80,drone2,16,11
80,drone3,18,0
80,drone4,2,15
80,drone5,23,19
80,drone6,7,22
81,drone1,7,4
81,drone2,15,11
81,drone3,17,0
81,drone4,1,15
81,drone5,23,20
81,drone6,6,22
82,drone1,8,4
82,drone2,14,11
82,drone3,16,0
82,drone4,0,15
82,drone5,22,20
82,drone6,5,22
83,drone1,9,4
83,drone2,14,10
83,drone3,15,0
83,drone4,0,16
83,drone5,21,20
83,drone6,4,22
84,drone1,10,4
84,drone2,13,10
84,drone3,14,0
84,drone4,0,17
84,drone5,20,20
84,drone6,3,22
85,drone1,11,4
85,drone2,13,9
85,drone3,13,0
85,drone4,0,18
85,drone5,19,20
85,drone6,2,22
86,drone1,12,4
86,drone2,13,8
86,drone3,12,0
86,drone4,1,18
86,drone5,18,20
86,drone6,1,22
87,drone1,12,3
87,drone2,12,8
87,drone3,11,0
87,drone4,2,18
87,drone5,17,20
87,drone6,0,22
88,drone1,11,3
88,drone2,11,8
88,drone3,10,0
88,drone4,3,18
88,drone5,16,20
88,drone6,0,21
89,drone1,10,3
89,drone2,10,8
89,drone3,9,0
89,drone4,4,18
89,drone5,15,20
89,drone6,1,21
90,drone1,9,3
90,drone2,9,8
90,drone3,8,0
90,drone4,5,18
90,drone5,14,20
90,drone6,2,21
91,drone1,8,3
91,drone2,9,9
91,drone3,7,0
91,drone4,5,19
91,drone5,13,20
91,drone6,3,21
92,drone1,7,3
